clube_id,pontos_num_1,preco_num_1,variacao_num_1,partida_id,mando,nota_1,FS_1,PE_1,A_1,FT_1,FD_1,FF_1,G_1,I_1,PP_1,RB_1,FC_1,GC_1,CA_1,CV_1,SG_1,DD_1,DP_1,GS_1,pontos_num_2,preco_num_2,variacao_num_2,nota_2,FS_2,PE_2,A_2,FT_2,FD_2,FF_2,G_2,I_2,PP_2,RB_2,FC_2,GC_2,CA_2,CV_2,SG_2,DD_2,DP_2,GS_2,pontos_num_3,preco_num_3,variacao_num_3,nota_3,FS_3,PE_3,A_3,FT_3,FD_3,FF_3,G_3,I_3,PP_3,RB_3,FC_3,GC_3,CA_3,CV_3,SG_3,DD_3,DP_3,GS_3,pontos_num_4,preco_num_4,variacao_num_4,nota_4,FS_4,PE_4,A_4,FT_4,FD_4,FF_4,G_4,I_4,PP_4,RB_4,FC_4,GC_4,CA_4,CV_4,SG_4,DD_4,DP_4,GS_4,pontos_num_5,preco_num_5,variacao_num_5,nota_5,FS_5,PE_5,A_5,FT_5,FD_5,FF_5,G_5,I_5,PP_5,RB_5,FC_5,GC_5,CA_5,CV_5,SG_5,DD_5,DP_5,GS_5
264.0,7.4,20.0,1.0,179877.0,0,7.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14.899999999999999,21.88,7.880000000000001,13.0,3,7,0,0,0,0,0,1,0,5,5,0,0,0,2,0,0,0,17.1,28.86,7.86,11.5,3,3,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0,14.1,52.33,-2.6700000000000017,30.0,7,16,0,0,2,4,0,1,0,8,5,0,0,0,0,0,0,0,2.2,25.900000000000002,-6.1000000000000005,16.0,2,3,0,0,1,1,0,2,0,2,4,0,0,0,0,0,0,0
282.0,11.0,21.96,3.96,179877.0,1,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,12.5,14.01,8.01,12.5,2,3,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,10.6,24.689999999999998,2.69,12.0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1.9,33.25,-8.75,17.0,2,8,0,0,1,0,0,0,0,4,9,0,0,0,0,0,0,0,2.1000000000000005,35.68,-9.32,22.0,7,6,0,0,2,2,0,1,0,0,5,0,0,0,0,0,0,0
265.0,-4.0,0.76,-4.24,179878.0,1,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.800000000000001,8.18,2.18,12.5,4,4,0,0,0,1,0,0,0,4,3,0,1,0,0,0,0,0,1.1,9.92,-2.08,9.5,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,13.9,30.980000000000004,3.9799999999999995,23.0,7,7,0,0,3,2,1,0,0,3,6,0,1,0,0,0,0,0,11.6,26.21,3.21,17.5,9,3,0,0,3,1,0,0,0,4,1,0,1,0,0,0,0,0
283.0,4.0,18.93,-2.07,179878.0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,-0.7000000000000001,14.62,-5.38,12.5,0,7,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,6.199999999999999,8.48,3.4799999999999995,11.5,0,1,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,19.900000000000002,43.09,6.09,39.0,11,15,2,1,1,3,1,2,0,4,11,0,3,0,0,0,0,0,10.100000000000001,34.92,-1.08,18.5,3,3,0,0,1,4,1,1,0,1,3,0,1,0,0,0,0,0
287.0,4.5,17.04,-0.96,179879.0,0,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.5999999999999999,16.36,-4.640000000000001,13.5,3,8,0,0,0,1,0,0,0,4,8,0,1,0,0,0,0,0,4.8,9.69,1.69,10.5,2,5,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1.5999999999999999,17.12,-3.88,15.0,7,9,0,0,0,1,0,1,0,3,5,0,1,0,0,0,0,0,4.2,23.630000000000003,-3.37,21.5,2,2,0,0,2,1,0,1,0,3,3,0,1,0,0,0,0,0
285.0,5.0,10.6,1.6,179879.0,1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.7,21.740000000000002,4.74,12.5,2,4,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,10.0,24.240000000000002,2.24,14.0,1,2,0,0,0,1,0,0,0,2,4,0,1,0,2,0,0,0,32.4,78.31000000000002,7.3100000000000005,40.0,12,12,1,1,1,7,1,0,0,8,8,0,1,0,0,0,0,0,0.7,16.44,-4.5600000000000005,11.0,1,4,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0
275.0,7.4,17.72,1.72,179880.0,0,7.5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,5.5,22.34,-1.66,11.0,2,5,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0.2,16.810000000000002,-5.1899999999999995,13.0,2,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5.8999999999999995,64.08,-12.92,32.5,4,16,2,0,2,3,0,0,0,3,9,0,3,0,0,0,0,0,14.3,31.279999999999998,4.28,19.5,3,3,0,0,1,1,2,1,0,0,3,0,1,0,0,0,0,0
288.0,-4.0,0.76,-2.24,179880.0,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.1,12.2,6.2,11.5,2,6,0,0,1,1,0,0,0,6,2,0,0,0,0,0,0,0,4.4,10.91,0.9100000000000001,10.5,3,3,0,0,1,1,0,1,0,3,1,0,1,0,0,0,0,0,12.8,36.96,0.9600000000000002,35.0,5,17,0,0,3,2,1,0,0,5,7,0,1,0,0,0,0,0,-2.5,4.17,-3.83,12.5,5,5,0,0,1,0,0,2,0,0,3,0,1,0,0,0,0,0
294.0,5.5,7.95,2.95,179881.0,0,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.5,26.89,9.89,17.5,4,5,0,0,1,2,0,0,0,3,5,0,1,0,3,0,0,0,14.3,28.25,5.25,19.5,4,6,0,0,0,1,0,0,0,2,10,0,0,0,3,0,0,0,6.1,27.330000000000002,-2.67,21.5,9,12,0,0,1,2,0,1,0,4,7,0,0,0,0,0,0,0,5.1,17.5,-0.5,12.5,8,2,0,0,3,1,0,1,0,0,3,0,0,0,0,0,0,0
315.0,4.7,8.1,2.1,179881.0,1,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.6,20.15,13.149999999999999,10.5,5,11,0,0,1,0,0,0,0,7,5,0,0,0,2,0,0,0,7.5,12.49,3.49,12.5,1,4,0,0,0,0,0,0,0,1,7,0,0,0,2,0,0,0,3.3,26.740000000000002,-5.26,28.5,9,11,0,0,2,0,0,0,0,3,10,0,0,0,0,0,0,0,5.3,23.7,-2.3000000000000003,22.0,10,5,0,0,1,3,0,1,0,1,5,0,0,0,0,0,0,0
