clube_id,pontos_num,preco_num,variacao_num,partida_id,mando,nota,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,vencedor
262.0,61.6,116.57,11.23,179893.0,1,74.0,16,22,3,0,3,4,4,4,0,17,23,0,2,0,0,0,0,2,1
287.0,29.3,96.60000000000001,-6.2,179894.0,0,75.5,14,31,1,0,3,3,2,6,0,5,10,0,1,0,0,3,0,1,1
266.0,19.4,174.87,-12.900000000000002,179894.0,1,67.0,11,40,0,1,7,4,1,2,0,8,16,0,1,0,0,2,0,2,-1
292.0,42.0,99.87999999999998,3.24,179895.0,1,90.5,10,37,3,0,3,5,3,4,0,13,23,0,5,0,0,2,0,1,1
277.0,37.0,144.51000000000002,-3.06,179895.0,0,78.0,21,43,1,0,3,2,1,3,0,20,11,0,1,0,0,1,0,3,-1
294.0,30.2,104.72,0.49,179896.0,0,77.5,10,29,1,0,4,3,2,2,0,14,24,0,3,0,0,2,0,2,0
276.0,40.1,179.25,-4.050000000000001,179896.0,1,78.5,24,37,1,1,2,8,2,4,0,13,12,0,3,0,0,1,0,2,0
277.0,36.400000000000006,147.04,-2.0799999999999996,179897.0,1,70.0,12,37,0,0,1,10,0,1,0,10,12,0,1,0,5,0,0,0,0
284.0,45.10000000000001,122.45,-5.82,179897.0,0,72.0,14,29,0,0,2,6,0,1,0,13,14,0,1,0,5,1,0,0,0
293.0,13.399999999999999,101.28,-6.200000000000001,179898.0,1,79.5,11,20,1,0,1,1,2,2,0,6,14,0,3,1,0,2,0,3,-1
283.0,48.2,132.73000000000002,1.1299999999999997,179898.0,0,85.5,14,34,2,0,6,5,3,0,0,12,11,0,3,0,0,1,0,2,1
264.0,61.3,158.98999999999998,4.470000000000001,179899.0,1,80.5,11,27,0,1,0,4,1,7,0,23,10,0,3,0,5,0,0,0,1
282.0,21.7,101.35,-4.23,179899.0,0,74.5,9,38,0,0,1,4,0,2,0,19,11,0,1,0,0,1,0,1,-1
275.0,53.4,86.01,6.709999999999999,179900.0,1,83.0,17,28,1,0,2,4,1,1,0,10,18,0,4,0,6,2,0,0,1
288.0,6.4,79.33000000000001,-3.0800000000000005,179900.0,0,77.5,18,49,0,0,4,3,0,1,0,10,17,0,3,0,0,2,0,1,-1
290.0,61.00000000000001,121.64,10.310000000000004,179901.0,0,81.5,19,14,0,0,5,3,1,1,0,13,14,0,1,0,5,1,0,0,1
282.0,27.9,120.49000000000001,-6.77,179901.0,1,83.5,13,51,0,2,4,6,0,1,0,20,18,0,2,0,0,1,0,1,-1
294.0,70.69999999999999,88.92999999999999,8.68,179902.0,1,91.5,15,33,1,0,8,4,3,1,0,14,20,0,3,0,4,2,0,0,1
315.0,13.699999999999998,78.02999999999999,-4.339999999999999,179902.0,0,76.0,20,31,0,0,2,6,0,0,0,9,15,0,2,0,0,3,0,3,-1
263.0,11.5,114.72000000000001,-11.8,179903.0,0,71.5,10,35,0,1,6,2,0,2,0,18,27,0,4,0,0,0,0,1,-1
265.0,68.8,117.69000000000001,13.61,179903.0,1,79.5,25,17,1,0,2,3,1,5,0,19,11,0,4,0,5,1,0,0,1
292.0,43.8,96.32,5.509999999999999,179904.0,0,80.5,21,35,1,0,2,4,1,0,0,20,18,0,2,0,0,3,0,2,-1
285.0,38.599999999999994,145.09,-1.5300000000000002,179904.0,1,79.0,18,45,2,0,5,2,2,0,0,16,21,0,2,0,0,0,0,1,1
283.0,45.2,156.62,-3.6899999999999995,179905.0,1,87.0,13,16,1,3,11,11,2,0,0,4,19,0,1,0,0,0,0,1,1
265.0,24.7,77.55,-4.04,179905.0,0,77.5,18,12,1,0,1,3,1,0,0,11,13,0,2,2,0,3,0,2,-1
316.0,4.700000000000001,50.949999999999996,-0.3400000000000003,179906.0,0,64.5,17,23,0,0,2,4,0,0,0,9,22,0,4,1,0,3,0,1,-1
288.0,67.30000000000001,84.75999999999999,15.640000000000002,179906.0,1,80.0,22,30,1,0,5,6,1,3,0,18,18,0,1,0,5,0,0,0,1
285.0,-0.2999999999999999,113.52,-5.069999999999999,179907.0,0,74.0,10,27,0,0,4,6,0,0,0,3,15,0,1,0,0,1,0,2,-1
